title,category,lyrics
আজ শ্রাবণের আমন্ত্রণে,রবীন্দ্র সংগীত,"আজ শ্রাবণের আমন্ত্রণে
          দুয়ার কাঁপে ক্ষণে ক্ষণে,
          ঘরের বাঁধন যায় বুঝি আজ টুটে॥
ধরিত্রী তাঁর অঙ্গনেতে    নাচের তালে ওঠেন মেতে,
          চঞ্চল তাঁর অঞ্চল যায় লুটে
          প্রথম যুগের বচন শুনি মনে
          নবশ্যামল প্রাণের নিকেতনে।
পুব-হাওয়া ধায় আকাশতলে,   তার সাথে মোর ভাবনা চলে
          কালহারা কোন্‌ কালের পানে ছুটে॥"
কোন্‌ পুরাতন প্রাণের টানে,রবীন্দ্র সংগীত,"কোন্‌ পুরাতন প্রাণের টানে
          ছুটেছে মন মাটির পানে॥
চোখ ডুবে যায় নবীন ঘাসে,   ভাবনা ভাসে পুব-বাতাসে–
মল্লারগান প্লাবন জাগায় মনের মধ্যে শ্রাবণ-গানে॥
          লাগল যে দোল বনের মাঝে
          অঙ্গে সে মোর দেয় দোলা যে।
যে বাণী ওই ধানের ক্ষেতে   আকুল হল অঙ্কুরেতে
         আজ এই মেঘের শ্যামল মায়ায়
              সেই বাণী মোর সুরে আনে॥"
আহ্বান আসিল মহোৎসবে,রবীন্দ্র সংগীত,"আহ্বান আসিল মহোৎসবে
     অম্বরে গম্ভীর ভেরিরবে॥
পূর্ববায়ু চলে ডেকে   শ্যামলের অভিষেকে–
     অরণ্যে অরণ্যে নৃত্য হবে॥
     নির্ঝরকল্লোল-কলকলে
     ধরণীর আনন্দ উচ্ছলে।
শ্রাবণের বীণাপাণি   মিলালো বর্ষণবাণী
     কদম্বের পল্লবে পল্লবে॥"
"শ্যামল ছায়া, নাইবা গেলে",রবীন্দ্র সংগীত,"শ্যামল ছায়া, নাইবা গেলে
          শেষ বরষার ধারা ঢেলে॥
সময় যদি ফুরিয়ে থাকে–  হেসে বিদায় করো তাকে,
এবার নাহয় কাটুক বেলা অসময়ের খেলা খেলে॥
          মলিন, তোমার মিলাবে লাজ–
          শরৎ এসে পরাবে সাজ।
নবীন রবি উঠবে হাসি,   বাজাবে মেঘ সোনার বাঁশি–
কালোয় আলোয় যুগলরূপে শূন্যে দেবে মিলন মেলে॥"
"ও আষাঢ়ের পূর্ণিমা আমার, আজি রইলে আড়ালে",রবীন্দ্র সংগীত,"ও আষাঢ়ের পূর্ণিমা আমার, আজি রইলে আড়ালে–
স্বপনের আবরণে লুকিয়ে দাঁড়ালে।।
আপনারই মনে জানি না একেলা
হৃদয়-আঙিনায় করিছ কী খেলা–
তুমি আপনায় খুঁজিয়া ফেরো কি
তুমি আপনায় হারালে।।
একি মনে রাখা একি ভুলে যাওয়া।
একি স্রোতে ভাসা, একি কূলে যাওয়া।
কভুবা নয়নে কভুবা পরানে
কর লুকোচুরি কেন যে কে জানে।
কভুবা ছায়ায় কভুবা আলোয়
কোন্‌ দোলায় যে নাড়ালে।।"
আজি ওই   আকাশ-‘পরে সুধায় ভরে আষাঢ়-মেঘের ফাঁক,রবীন্দ্র সংগীত,"আজি ওই   আকাশ-‘পরে সুধায় ভরে আষাঢ়-মেঘের ফাঁক।
     হৃদয়-মাঝে মধুর বাজে কী উৎসবের শাঁখ॥
একি হাসির বাঁশির তান,   একি   চোখের জলের গান–
     পাই নে দিশে কে জানি সে দিল আমায় ডাক॥
আমায়   নিরুদ্দেশের পানে   কেমন করে টানে   এমন করুণ গানে।
     ওই   পথের পারের আলো   আমার   লাগল চোখে ভালো,
          গগনপারে দেখি তারে সুদূর নির্বাক্‌॥"
গহন রাতে শ্রাবণধারা পড়িছে ঝরে,রবীন্দ্র সংগীত,"গহন রাতে শ্রাবণধারা পড়িছে ঝরে,
     কেন গো মিছে জাগাবে ওরে॥
এখনো দুটি আঁখির কোণে যায় যে দেখা
          জলের রেখা,
  না-বলা বাণী রয়েছে যেন অধর ভরে॥
নাহয় যেয়ো গুঞ্জরিয়া বীণার তারে
     মনের কথা শয়নদ্বারে।
নাহয় রেখো মালতীকলি শিথিল কেশে
          নীরবে এসে,
নাহয় রাখী পরায়ে যেয়ো ফুলের ডোরে।
     কেন গো মিছে জাগাবে ওরে॥"
এই শ্রাবণ-বেলা বাদল-ঝরা   যূথীবনের গন্ধে ভরা ॥,রবীন্দ্র সংগীত,"এই শ্রাবণ-বেলা বাদল-ঝরা   যূথীবনের গন্ধে ভরা ॥
     কোন্‌   ভোলা দিনের বিরহিনী,   যেন তারে চিনি চিনি–
ঘন বনের কোণে কোণে ফেরে ছায়ার-ঘোমটা-পরা ॥
কেন বিজন বাটের পানে   তাকিয়ে আছি কে তা জানে।
     হঠাৎ কখন অজানা সে   আসবে আমার দ্বারের পাশে,
বাদল-সাঁঝের আঁধার-মাঝে   গান গাবে প্রাণ-পাগল করা ॥"
"আজ কিছুতেই যায় না মনের ভার,",রবীন্দ্র সংগীত,"আজ কিছুতেই যায় না মনের ভার,
দিনের আকাশ মেঘে অন্ধকার– হায় রে॥
     মনে ছিল আসবে বুঝি,   আমায় সে কি পায় নি খুঁজি–
     না-বলা তার কথাখানি জাগায় হাহাকার॥
সজল হাওয়ায় বারে বারে
সারা আকাশ ডাকে তারে।
     বাদল-দিনের দীর্ঘশ্বাসে   জানায় আমায় ফিরবে না সে–
     বুক ভরে সে নিয়ে গেল বিফল অভিসার॥"
শ্রাবণবরিষন পার হয়ে   কী বাণী আসে ওই রয়ে রয়ে,রবীন্দ্র সংগীত,"শ্রাবণবরিষন পার হয়ে   কী বাণী আসে ওই রয়ে রয়ে।
     গোপন কেতকীর পরিমলে,   সিক্ত বকুলের বনতলে,
     দূরের আঁখিজল বয়ে বয়ে   কী বাণী আসে ওই রয়ে রয়ে॥
কবির হিয়াতলে ঘুরে ঘুরে   আঁচল ভরে লয় সুরে সুরে।
     বিজনে বিরহীর কানে কানে   সজল মল্লার-গানে-গানে
          কাহার নামখানি কয়ে কয়ে
              কী বাণী আসে ওই রয়ে রয়ে॥"
"ছায়া ঘনাইছে বনে বনে,   গগনে গগনে ডাকে দেয়া",রবীন্দ্র সংগীত,"ছায়া ঘনাইছে বনে বনে,   গগনে গগনে ডাকে দেয়া।
কবে নবঘন-বরিষনে     গোপনে গোপনে এলি কেয়া ॥
     পুরবে নীরব ইশারাতে   একদা নিদ্রাহীন রাতে
          হাওয়াতে কী পথে দিলি খেয়া–
              আষাঢ়ের খেয়ালের কোন্‌ খেয়া ॥
যে মধু হৃদয়ে ছিল মাখা   কাঁটাতে কী ভয়ে দিলি ঢাকা।
     বুঝি এলি যার অভিসারে   মনে মনে দেখা হল তারে,
          আড়ালে আড়ালে দেয়া-নেয়া–
              আপনায় লুকায়ে দেয়া-নেয়া ॥"
"আষাঢ়, কোথা হতে আজ পেলি ছাড়া",রবীন্দ্র সংগীত,"আষাঢ়, কোথা হতে আজ পেলি ছাড়া।
মাঠের শেষে শ্যামল বেশে ক্ষণেক দাঁড়া ॥
     জয়ধ্বজা ওই-যে তোমার গগন জুড়ে।
     পুব হতে কোন্‌ পশ্চিমেতে যায় রে উড়ে,
নাচের নেশা লাগল তালের পাতায় পাতায়,
হাওয়ার দোলায় দোলায় শালের বনকে মাতায়।
     আকাশ হতে আকাশে কার ছুটোছুটি,
     বনে বনে মেঘের ছায়ায় লুটোপুটি–
          ভরা নদীর ঢেউয়ে ঢেউয়ে কে দেয় নাড়া ॥"
কদম্বেরই কানন ঘেরি আষাঢ়মেঘের ছায়া খেলে,রবীন্দ্র সংগীত,"কদম্বেরই কানন ঘেরি আষাঢ়মেঘের ছায়া খেলে,
পিয়ালগুলি নাটের ঠাটে হাওয়ায় হেলে॥
     বরষনের পরশনে   শিহর লাগে বনে বনে,
     বিরহী এই মন যে আমার সুদূর-পানে পাখা মেলে॥
আকাশপথে বলাকা ধায় কোন্‌ সে অকারণের বেগে,
পুব হাওয়াতে ঢেউ খেলে যায় ডানার গানের তুফান লেগে।
     ঝিল্লিমুখর বাদল-সাঁঝে   কে দেখা দেয় হৃদয়-মাঝে,
     স্বপনরূপে চুপে চুপে ব্যথায় আমার চরণ ফেলে॥"
আকাশতলে দলে দলে,রবীন্দ্র সংগীত,"আকাশতলে দলে দলে মেঘ যে ডেকে যায়
          ‘আ য়   আ য়   আ য়’॥
জামের বনে আমের বনে রব উঠেছে তাই–
          ‘যা ই   যা ই   যা ই।
উড়ে যাওয়ার সাধ জাগে তার পুলক-ভরা ডালে
          পাতায় পাতায়॥
নদীর ধারে বারে বারে মেঘ যে ডেকে যায়–
          ‘আ য়   আ য়   আ য়’।
কাশের বনে ক্ষণে ক্ষণে রব উঠেছে তাই–
          ‘যা ই   যা ই   যা ই’।
মেঘের গানে তরীগুলি তান মিলিয়ে চলে
          পাল-তোলা পাখায়॥"
তিমির-অবগুণ্ঠনে বদন তব,রবীন্দ্র সংগীত,"তিমির-অবগুণ্ঠনে বদন তব ঢাকি
কে তুমি মম অঙ্গনে দাঁড়ালে একাকী॥
     আজি সঘন শর্বরী, মেঘমগন তারা,
     নদীর জলে ঝর্ঝরি ঝরিছে জলধারা,
       তমালবন মর্মরি পবন চলে হাঁকি॥
যে কথা মম অন্তরে আনিছ তুমি টানি
জানি না কোন্‌ মন্তরে তাহারে দিব বাণী।
     রয়েছি বাঁধা বন্ধনে, ছিঁড়িব, যাব বাটে–
     যেন এ বৃথা ক্রন্দনে এ নিশি নাহি কাটে।
       কঠিন বাধা-লঙ্ঘনে দিব না আমি ফাঁকি॥"
ওগো আমার শ্রাবণ মেঘের,রবীন্দ্র সংগীত,"ওগো আমার শ্রাবণমেঘের খেয়াতরীর মাঝি
অশ্রুভরা পূরব হাওয়ায় পাল তুলে দাও আজি।।
উদাস হৃদয় তাকায়ে রয়, বোঝা তাহার নয় ভারী নয়
পুলক-লাগা এই কদম্বের একটি কেবল সাজি।।
ভোরবেলা যে খেলার সাথি ছিল আমার কাছে
মনে ভাবি, তার ঠিকানা তোমার জানা আছে।
তাই তোমারি সারিগানে সেই আঁখি তার মনে আনে
আকাশ-ভরা বেদনাতে রোদন উঠে বাজি।।"
বাদল মেঘে মাদল বাজে,রবীন্দ্র সংগীত,"বাদল মেঘে মাদল বাজে গুরুগুরু গগন মাঝে।।
তারি গভীর রোলে আমার হৃদয় দোলে
আপন সুরে আপনি ভোলে।।
কোথায় ছিল গহন প্রাণে
গোপন ব্যথা গোপন গানে
আজি সজল বায়ে শ্যামল বনের ছায়ে
ছড়িয়ে গেল সকলখানে গানে গানে।।"
আজ   বারি ঝরে ঝরঝর ভরা বাদরে,রবীন্দ্র সংগীত,"আজ   বারি ঝরে ঝরঝর ভরা বাদরে,
আকাশ-ভাঙা আকুল ধারা কোথাও না ধরে॥
     শালের বনে থেকে থেকে   ঝড় দোলা দেয় হেঁকে হেঁকে,
     জল ছুটে যায় এঁকে বেঁকে মাঠের ‘পরে।
আজ    মেঘের জটা উড়িয়ে দিয়ে নৃত্য কে করে॥
ওরে    বৃষ্টিতে মোর ছুটেছে মন, লুটেছে এই ঝড়ে–
     বুক ছাপিয়ে তরঙ্গ মোর কাহার পায়ে পড়ে।
অন্তরে আজ কী কলরোল,   দ্বারে দ্বারে ভাঙল আগল–
     হৃদয়-মাঝে জাগল পাগল আজি ভাদরে।
     আজ   এমন ক’রে কে মেতেছে বাহিরে ঘরে॥"
"আষাঢ়সন্ধ্যা ঘনিয়ে এল, গেল রে দিন বয়ে",রবীন্দ্র সংগীত,"আষাঢ়সন্ধ্যা ঘনিয়ে এল, গেল রে দিন বয়ে।
বাঁধন-হারা বৃষ্টিধারা ঝরছে রয়ে রয়ে।।
একলা বসে ঘরের কোণে
কী ভাবি যে আপন-মনে,
সজল হাওয়া যূথীর বনে
কী কথা যায় কয়ে।।
হৃদয়ে আজ ঢেউ দিয়েছে,
খুঁজে না পাই কূল;
সৌরভে প্রাণ কাঁদিয়ে তোলে ভিজে বনের ফুল।
আঁধার রাতে প্রহরগুলি
কোন্‌ সুরে আজ ভরিয়ে তুলি,
কোন্‌ ভুলে আজ সকল ভুলি
আছি আকুল হয়ে।।"
"ওরা, চাহিতে জানে না, দয়াময়",বিবিধ,"ওরা, চাহিতে জানে না, দয়াময়।
ওরা, চাহে ধন, জন, আয়ু, আরোগ্য বিজয়।
করুণার সিন্ধু কুলে তথাপি নিলাজ হিয়া,
বসিয়া, মনের ভুলে মহাব্যস্ত তাই নিয়া,
এক বিন্দু বারি তুলে ভাঙিতে গড়িতে, হ’য়ে
মুখে নাহি লয়, পড়ে অসময়।
তীরে করি ‘ছুটাছুটি, আহা!ওরা জানে না ত’,
ধুলি বাঁধে মুঠিমুঠি, করুণা নির্ঝর নাথ,
পিয়াসে আকুল হিয়া, না চাহিতে নিরন্তর,
আরো ক্লিষ্ট হয়। ঝর ঝর বয় ;
কি ছাই মাগিরে নিয়ে, চির তৃপ্তি আছে যাহে,
কি ছাই করে তা দিয়ে, তা যদি গো নাহি চাহে,
দু’দিনের মোহ, ভেঙে তাই দিও দীনে, যা’তে
চুরমার হয় ; পিপাসা না রয়।"
আমি সকল কাজের পাই হে সময়,বিবিধ,"আমি সকল কাজের পাই হে সময় তোমারে ডাকিতে পাই নে,
আমি চাহি দারা সুত সুখ সম্মিলন তব সঙ্গ সুখ চাই নে।।
 আমি কতই যে করি বৃথা পর্যটন তোমার কাছে তো যাই নে;
 আমি কত কি যে খাই ভস্ম আর ছাই তব প্রেমামৃত খাই নে।।
 আমি কত গান গাহি মনের হরষে তোমার মহিমা গাই নে;
আমি বাহিরের দুটো আঁখি মেলে চাই জ্ঞান আঁখি মেলে চাই নে।।
 আমি কার তরে দেই আপনা বিলায়ে ও পদতলে বিকাই নে;
 আমি সবারে শিখাই কত নীতি কথা মনেরে শুধু শিখাই নে।।"
আমি দেখেছি জীবন ভরে চাহিয়া কত,বিবিধ,"আমি দেখেছি জীবন ভ’রে চাহিয়া কত ;
তুমি আমারে যা দাও, সবই তোমারি মত।
আকুল হইয়ে মিছে,
চেয়ে মরি কত কিযে,
কাঁদে পদতলে নিষ্ফল বাসনা শত।
কিসে মোর ভাল হয়
তুমি জান, দয়াময়,
তবু নির্ভর জানে না এ অবিনত।
আমি কেন চেয়ে মরি ;
তুমি জান কি সে, হরি
সফল হইবে মম জীবন ব্রত।
চাহিব না কিছু আর ;
দিব শ্রীচরণে ভার,
হে দয়াল, সদা মম কুশল-রত।"
আমি তো তোমারে চাহিনি,বিবিধ,"আমি তো তোমারে চাহিনি জীবনে তুমি অভাগারে চেয়েছ;
আমি না ডাকিতে, হৃদয় মাঝারে নিজে এসে দেখা দিয়েছ।।
চির-আদরের বিনিময়ে সখা! চির অবহেলা পেয়েছ
আমি দূরে ছুটে যেতে দুহাত পসারি ধরে টেনে কোলে নিয়েছ।।
ও পথে যেও না ফিরে এস বলে কানে কানে কত কয়েছ
আমি তবু চলে গেছি ফিরায়ে আনিতে পাছে পাছে ছুটে গিয়েছ।।
এই চির অপরাধী পাতকীয় বোঝা হাসি মুখে তুমি বয়েছ,
আমার নিজ হাতে গড়া বিপদের মাঝে বুকে করে নিয়ে রয়েছ।।"
আমায় সকল রকমে কাঙাল করেছে,বিবিধ,"আমায় সকল রকমে কাঙাল করেছে,
গর্ব করিতে চুর ;
যশঃ ও অর্থ, মান ও সাস্থ্য,
সকলি করেছে দূর |
ঐগুলো সব মায়াময় রূপে,
ফেলেছিল মোরে অহমিকা-কূপে,
তাই সব বাধা সরায়ে দয়াল
করেছে দীন আতুর ;
আমায় সকল রকমে কাঙাল করিয়া,
গর্ব করিছে চুর |
তাই, সকল রকমে কাঙ্গাল করিয়া,
গর্ব করিছে চুর |
ভবিতাম, “আমি লিখি বুঝি বেশ,
আমার সংগীত ভালবাসে দেশ”,
তাই, বুঝিয়া দয়াল ব্যাধি দিল মোরে,
বেদনা দিল প্রচুর ;
আমায় কত না যতনে শিক্ষা দিতেছে,
গর্ব করিতে চুর !"
আমরা নেহাত্ গরীব আমরা নেহাত্ ছোট,বিবিধ,"আমরা নেহাত্ গরীব আমরা নেহাত্ ছোট ;
তবু আজি সাত কোটি ভাই জেগে ওঠো ||
জুড়ে দে ঘরের তাঁত সাজা দোকান ;
বিদেশে না যায় ভাই গোলারি ধান ;
আমরা মোটা খাব, ভাই রে প’রবো মোটা ;
মাখবো না ল্যাভেন্ডার, চাই নে ‘অটো’ ||
নিয়ে যায় মায়ের দুধ পরে দুয়ে’
আমরা, রব কি উপোসী ঘরে শুয়ে ?
হারাস্ নে ভাই রে, আর এমন সুদিন
মায়ের পায়ের কাছে এসে জোটো ||
ঘরের দিয়ে আমরা পরের মেঙে ;
কিন্ বো না ঠুন্ কো কাঁচ, যায় যে ভেঙে ;
থাকলে, গরীব হয়ে, ভাই রে, গরীব চালে,
তাতে হ’বে নাকো মান খাটো ||"
ওরে আমার সাধের বীণা,বিবিধ,"ওরে আমার সাধের বীণা,
ওরে আমার সাধের গান।।
তোর ওই কোমল সুরে ব্যথা ঝরে
আকুল করে আমার প্রাণ।।
ও তোর শত তানে একই কথা
শত লয়ে একই ব্যথা
শুধু নিরাশার কাতরতা
হতাশার অপমান।
পার যদি জাগো বীণা
ধরো আরও উচ্চতান
গাইব আমি নূতন গানে
নূতন প্রাণে কম্পমান।
যখন বীণার সুরে গলা সেধে
গাইতে যাই রে ফেলি কেঁদে
শুধু) মিশে যায় সে মনের খেদে
আঁখির জলে অবসান;
কোথায় আনন্দেতে উঠব নেচে
মরা মানুষ উঠবে বেঁচে
আমি পাই না সুধাসাগর ছেঁচে
ভাগ্যে শুধুই বিষপান!
পার যদি জাগো বীণা
ধরো আরও উচ্চতান
গাইব আমি নূতন গানে
নূতন প্রাণে কম্পমান।
বীণা পার যদি জাগো তবে
বেজে ওঠো উচ্চরবে
আজ নূতন সুরে গাইতে হবে
আমি সঙ্গে ধরি তান
ছেড়ে লোকলজ্জা, সমাজ-ভয়
যাতে, সবাই আবার মানুষ হয়
এমনি গাইতে পারি দয়াময়
কর এই বরদান।
পার যদি জাগো বীণা
ধরো আরও উচ্চতান
গাইব আমি নূতন গানে
নূতন প্রাণে কম্পমান।"
হৃদয় আমার গোপন করে,বিবিধ,"হৃদয় আমার গোপন করে
আর ত লো সই রৈতে নারি,
ভরা গাঙে ঝড় উঠেছে –
থর থর কাঁপছে বারি।
ঢেউয়ে ঢেউয়ে নৃত্য তুলে
ছাপিয়ে উঠে কূলে কূলে
বাঁধ দিয়ে এ মত্ত তুফান
আর কি ধরে’ রাখতে পারি।
মানের মানা শুনবো না আর
মান-অভিমান আর কি সাজে,
মানের তরী ভাসিয়ে দিয়ে
ঝাঁপ দেবো এই তুফানমাঝে।"
আমরা এমনই এসে ভেসে যাই,বিবিধ,"আমরা এমনই এসে ভেসে যাই –
আলোর মতন, হাসির মতন,
কুসুমগন্ধরাশির মতন,
হাওয়ার মতন, নেশার মতন
ঢেউয়ের মতো ভেসে যাই।
আমরা অরুণ-কনক কিরণে চড়িয়া নামি;
আমরা সান্ধ্য রবির কিরণে অস্তগামী;
আমরা শরৎ ইন্দ্রধনুর বরণে
জ্যোৎস্নার মতো চকিত চরণে,
চপলার মতো চকিত চমকে
চাহিয়া, ক্ষণিক হেসে যাই।
আমরা স্নিগ্ধ, কান্ড, শান্তি-সুপ্তিভরা
আমরা আসি বটে, তবু কাহারে দিই না ধরা
আমরা শ্যামলে শিশিরে গগনের নীলে
গানে, সুগন্ধে, কিরণে-নিখিলে
স্বপ্নরাজ্য হতে এসে, ভেসে
স্বপ্নরাজ্য দেশে যাই।"
আমরা – মলয় বাতাসে ভেসে যাবো,বিবিধ,"আমরা – মলয় বাতাসে ভেসে যাবো
শুধু কুসুমের মধু করিব পান;
ঘুমোবো কেতকী সুবাস শয়নে
চাঁদের কিরণে করিব স্নান।
কবিতা করিবে আমারে বীজন
প্রেম করিবে স্বপ্নসৃজন,
স্বর্গের পরী হবে সহচরী,
দেবতা করিবে হৃদয়দান।
সন্ধ্যার  মেঘে করিব দুকূল, ইন্দ্রধনুরে চন্দ্রহার
তারায় করিব কর্ণের দুল
জড়াবো গায়েতে অন্ধকার।
বাষ্পের সনে আকাশে উঠিব
বৃষ্টির সনে ধরায় লুটিব
সিন্ধুর সনে সাগরে ছুটিব
ঝঞ্ঝার সনে গাহিব গান।"
তুমি বাঁধিয়া কী দিয়ে রেখেছ হৃদি এ,বিবিধ,"তুমি বাঁধিয়া কী দিয়ে রেখেছ হৃদি এ,
(আমি) পারি না যেতে ছাড়ায়ে,
এ যে বিচিত্র নিগূঢ় নিগড় মধুর –
(কী) প্রিয় বাঞ্ছিত কারা-এ!
এ যে যেতে বাজে চরণে এ পয বিরহ কাজে স্মরণে
কোথায় যায় মিলিয়া যে মিলনের হাসি
চুম্বনের পাশে হারায়ে।"
এই তো এখানে আমি,ছায়াছবি,"এই তো এখানে আমি তোমার চোখের কাছে
খুজে দেখ না তুমি দুটি নয়ন মাঝে
ও হো হো ও… ।।
এই হৃদয়ের ফুল বাগানে
লুকোচুরি মনে মনে
নাম না জানা একটি পাখি
মিষ্টি সুরে উঠলো ডাকি
সুরে সুরে মন ভরে
দূরে দূরে যায় সরে
কেন সে তো জানি না।।
নীল আকাশে মেলে ডানা
হারিয়ে যেতে নেই তো মানা
আজ খুশিতে মন ভরেছে
বুলবুলি মন গান ধরেছে
দুরু দুরু এই বুকে
উড়ু ঊড়ু এই মনে
এই তো কত ভাবনা।।"
ভালবাসার স্বপ্নে ঘেরা,ছায়াছবি,"ভালবাসার স্বপ্নে ঘেরা।
অনুরাগের ছোয়ায় ভরা সুখের বাসর।।
কখনও এমন করে ছিল না জানা
এ জীবনে আছে যে স্বাদ আছে বাসনা।
সোহাগিনী আমি তোমার পেয়ে যে আদর।।
তোমার এ বাহুর বাধন খোল না প্রিয়
সুখে দুঃখে এ বুকে ঠাই আমাকে দিও
চিরদিন রেখো তোমার প্রেমের দোসর।।"
তোমায় ঘিরে,আধুনিক,"তোমায় ঘিরে যে ভাল লাগা
হয়নি বলা ভাষায়
হাজার ভিড়ের মাঝে খুঁজে পাওয়া
সেই তুমি আজ কোথায়?
তোমাকে নিয়ে সেই স্মৃতিরা
শুধু খুঁজে ফেরে আমাদের
কি যেন কি ভেবে আছো সুদূরে
এসো না ফিরে হৃদয়ে
সময় জুড়ে শুধু শুন্যতা
নীরবে ছুঁয়ে থাকে
ভুলেও আমি ভাবিনি হারাবো
কখানো তোমায় এভাবে
তোমাকে নিয়ে স্বপ্নগুলো
আজও খুঁজে ফেরে আমাদের
কি যেন কি ভুলে হারিয়ে গেলে
এসো না ফিরে হৃদয়ে।
মনের আকাশে মেঘের ভেলায়
বেদনা বৃষ্টি ঝরে
এত কাছে ছিলে তবুও
পাইনি কেন তোমায় বোঝাতে
তোমাকে নিয়ে স্বপ্নগুলো
আজও খুঁজে ফেরে আমাদের
কি যেন কি ভেবে হারিয়ে গেলে
এসো না ফিরে হৃদয়ে"
সাগরিকা খুজে তো পাই নি,আধুনিক,"সাগরিকা…
খুজে তো পাই নি তো তোমার মনে
বলা তো হলো না কথা আমারও প্রাণে।
ভেবে হয়েছি সারা বাতাস আপন হারা।
সুরভি ছড়িয়ে কখন গেল মাধবী বনে।।
কখন নিয়েছ ডেকে দিয়েছে আবির মেখে।
আবেশে ভরিয়ে হৃদয় দিলে মধুর ক্ষণে।।"
বাঁশি বাজে ঐ দূরে,আধুনিক,"বাঁশি বাজে ঐ দূরে চেনা কি অচেনা সুরে
এ লগনে মন মোর কিছুতে যে রয় না ঘরে।।
ভোলা মন ভুলে গেল কদমতলীর বাঁকে
ডাহুকিয়া কাঁদে একা তমালের শাঁখে।
ও তার সাথী হারা বেদনাতে হৃদয় জ্বরজ্বরে।।
কি যে করি মনে মনে ভেবে কিছু পাই না
বেভোলা মন নিয়ে মিছে শুধু জাল বোনা।
বাঁশরিয়ার বাঁশির সুরে মন হারালো
এমন করে বেদন দিয়ে কোথা চলে গেল।
ও সেই ডাল বাঁশি বাজাও আসি ডেকো না গো দূরে।।"
তোর রূপ দেখে চোখ ধাধে,ছায়াছবি,"তোর রূপ দেখে চোখ ধাধে মন ভোলে না
থমক দেখে চমক লাগে পরাণ দোলে না।।
বাঁকা ঠোটে তোর রঙ্গিল হাসি
উতালা ঢেউ খেলে যায়
এই অঙ্গে যে আগুন লাগায়
মরমী পতঙ্গ উড়ে এসে
গোপনে প্রাণ সপে যায়
তোর যৌবন প্রদীপ শেখায়
যৌবন হারালে এই মধু ফুরালে
মৌমাছি আর কাছে রবে না।।
কাজল পড়া দুটি চপল আখি
যে কথা বলিতে চায়
আরে সে কথা জানে সবাই
নেশা কেটে গেলে রাতের শেষে
চলে তো যাবে সবাই
পড়ে রবি শুধু একলাই
বলি কী ঘটনা পূর্ন তো হবে না
কে ডেকে আর কাছে রবে না।।"
তোমাকে মানায় ভাল,আধুনিক,"তোমাকে মানায় ভাল
যখন তুমি লজ্জা রাঙ্গা আবির মেখে সাজো
গোধুলির আবরণে নতুন নতুন সুরের ছোয়া
আমার প্রাণে বাজো।।
তোমার ঐ লাজুক আখি পদ্মকলি
নিরবে সকল কথা যায় গো বলি।
মনে হয় প্রেমের তৃষা বুকে নিয়ে
নূপুর হয়ে বাজো
গোধুলির আবরণে নতুন নতুন সুরের ছোয়া
আমার প্রাণে বাজো।।
সুনীল ঐ আকাশ বুঝি সন্ধ্যা সাঝে
হারানো দিনের কিছু কথার মাঝে।
খুজে পাই তোমার মত লজ্জা এখন
পাই নি ভেবে আজো
গোধুলির আবরণে নতুন নতুন সুরের ছোয়া
আমার প্রাণে বাজো।।"
খাতার পাতায় লিখতে এসে,আধুনিক,"খাতার পাতায় লিখতে এসে
চোখের পাতায় দিলে তোমার সই।
ঘুম না আসা চোখে এখন রাত্রিটারে বই।।
সেই থেকে যে মরণ হলো
বলো এখন তুমি বলো
কেমন করে মুছে দিবো
তোমার হাতের সই।।
সেই থেকে যে স্বপন কূলে
ভুলে আমার হৃদয় ভুলে।
হটাৎ করে চেয়ে দেখি
আমি আমার নয়।।"
এই পথে পথে আমি একা চলি,ছায়াছবি,"এই পথে পথে আমি একা চলি
ভাবি নাকি মরি বাঁচি
দেখে শুনে ক্ষেপে গেছি
যা-ই মুখে আসে তাই বলি।।
মাল নিয়ে গোলমাল চিরকাল চলে
কেউ মুখে বলে না কেউ দেখে বলে
কেউ গোনে টাকা পাই
কেউ করে হাত সাফাই
আমি ভাই বেশ আছি
মাতালের মত শুধু টলি
আর যা-ই মুখে আসে তাই বলি।।
প্রেয়সী প্রেমিক খুজে বোতলে মাতাল
লাইট পোষ্ট তুমি খোজ কারে
দিনের আলোয় যে অতি সাধু লোক
মুখোশ খোলে তার এই আধারে।
মানুষের নামে যারা রাজপথে চলে
থ্রী কোর্ট অমানুষ তারাই তো বলে
আমি কিছু বলবো না, রাজপথে চলবো না
ওয়ান কোর্ট হয়ে তাই দিন রাত খুজি কানা গলি
আর যা-ই মুখে আসে তাই বলি।।"
কে তুমি এলে গো,ছায়াছবি,"কে তুমি এলে গো
আমার এই জীবনে"
